Rank,Features,N Features,ADHD Correct (%),Control Correct (%),Overall Accuracy (%),Balanced Accuracy (%),ROC-AUC,F1
1,commission_rate + d_prime,2,70.0,79.59183673469387,74.74747474747475,74.79591836734694,0.7681632653061224,0.7368421052631579
2,accuracy + commission_rate,2,68.0,79.59183673469387,73.73737373737373,73.79591836734693,0.7677551020408163,0.723404255319149
3,omission_rate + commission_rate,2,70.0,77.55102040816327,73.73737373737373,73.77551020408163,0.7693877551020408,0.7291666666666666
4,rt_std + accuracy,2,62.0,83.6734693877551,72.72727272727273,72.83673469387755,0.7714285714285715,0.6966292134831461
5,accuracy + omission_rate + commission_rate + d_prime,4,66.0,79.59183673469387,72.72727272727273,72.79591836734693,0.7718367346938775,0.7096774193548387
6,accuracy + omission_rate + commission_rate,3,66.0,79.59183673469387,72.72727272727273,72.79591836734693,0.7710204081632652,0.7096774193548387
7,omission_rate + commission_rate + d_prime,3,66.0,79.59183673469387,72.72727272727273,72.79591836734693,0.7706122448979592,0.7096774193548387
8,accuracy + commission_rate + d_prime,3,66.0,79.59183673469387,72.72727272727273,72.79591836734693,0.7685714285714286,0.7096774193548387
9,rt_mean + rt_std + accuracy,3,68.0,77.55102040816327,72.72727272727273,72.77551020408164,0.746734693877551,0.7157894736842105
10,rt_std + omission_rate + commission_rate,3,70.0,75.51020408163265,72.72727272727273,72.75510204081633,0.7583673469387756,0.7216494845360825
11,rt_std + accuracy + commission_rate,3,70.0,75.51020408163265,72.72727272727273,72.75510204081633,0.7551020408163265,0.7216494845360825
12,rt_mean + rt_std + commission_rate,3,74.0,71.42857142857143,72.72727272727273,72.71428571428571,0.7240816326530612,0.7326732673267327
13,rt_std + accuracy + omission_rate + commission_rate,4,66.0,77.55102040816327,71.71717171717171,71.77551020408164,0.7616326530612244,0.7021276595744681
14,rt_mean + rt_std + accuracy + omission_rate,4,66.0,77.55102040816327,71.71717171717171,71.77551020408164,0.756734693877551,0.7021276595744681
15,rt_std + commission_rate + d_prime,3,68.0,75.51020408163265,71.71717171717171,71.75510204081633,0.7465306122448979,0.7083333333333334
16,rt_mean + accuracy + omission_rate,3,64.0,77.55102040816327,70.70707070707071,70.77551020408164,0.76,0.6881720430107527
17,rt_mean + accuracy + omission_rate + commission_rate + d_prime,5,64.0,77.55102040816327,70.70707070707071,70.77551020408164,0.7579591836734694,0.6881720430107527
18,rt_mean + accuracy + omission_rate + commission_rate,4,66.0,75.51020408163265,70.70707070707071,70.75510204081633,0.7591836734693879,0.6947368421052632
19,rt_std + accuracy + omission_rate + commission_rate + d_prime,5,66.0,75.51020408163265,70.70707070707071,70.75510204081633,0.7555102040816327,0.6947368421052632
20,rt_mean + rt_std + accuracy + omission_rate + commission_rate + d_prime,6,66.0,75.51020408163265,70.70707070707071,70.75510204081633,0.7530612244897958,0.6947368421052632
